review_count,useful_user,funny_user,cool_user,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos,stars,useful_review,funny_review,cool_review,text,friend_count,elite_count,yelp_since_YRMO,yelp_since_year
540,1294,258,903,42,4.25,16,3,0,1,0,21,54,107,107,42,33,5,4,2,1,"I can't believe I haven't been here yet!  I had no idea how great this place was.  My friend and I enjoyed listening to some great music, and enjoyed great local drink options.  I had a sangria with basil and blackberry - it was excellent.  I love how there's a menu for each color of wine.  The bartender was informative, talking through what we would enjoy with us.  Excellent local whiskey, gin, beer and wine, and the bar was so different and flavorful!  We had house made chips and guacamole, and amazing tacos with a bacon-wrapped, chili stuffed with ground meat!!  Such a delightful experience!!",356,9,201407,2014
3,10,4,3,0,5.0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,"I don't usually go to parties but went to a retirement dinner here. Wow! The friends were great but to discover the Inn is major for me. It's about 15 minutes from home. I eat out every night and like to keep a few special places in my pocket. This one is a keeper. My favorite is Seven Stars. This may give it a run for their money. I can hardly wait until I can check out their regular menu. 
The owner Jeff was great. I walk with a cane and he made sure I was taken care of, even offering to drive my car around to me. 
I will be back. And back. 


Tuesday 6/14
Well I went back to try out the regular dining experience. 
Very pleased.
The only negatives are there are too many steps. Little fat men consider such things. I also would prefer a 4:30 opening but that's dealable.  
The service is amazing. It's not that they refilled my coffee, they never let it empty!
The lobster bisque was great. Wish they'd try Snapper. 
For dinner I had the duck breast. It was great just a bit on the small side. Desert was the best pecan pie I've ever had. 

Will I go back?? Without doubt. Of course I'm off to camp next week for two months so I don't have a chance to reach ""Oh Murray! Would you like your usual seat?"" status. 
But I will.",170,1,201204,2012
793,1734,608,1321,48,4.15,39,6,8,1,0,53,101,126,126,49,79,3,8,2,4,"This is their first day open, so I'm making allowance for that,  otherwise it would be one star. I don't know where to begin except at the beginning. Everything inside is new,  as the space has been remodeled. Yet upon walking in, the whole place already smells of grease and fish. I'm guessing it will always be as such but worse with time because this is a one stop shop hodge podge of wings,  seafood,  sandwiches, smoothies, and gyros. Next, we approach the counter to an altercation already in progress. The customers already here are telling us to go unless we want to wait 45 minutes for wings. Well,  already I'm intrigued,  and rarely one to listen to others rantings,  we proceed to order a strawberry smoothie and hot wings. I paid with my card,  which I immediately think might have been another potential headache on its own. They ran it,  reversed it,  and charged it again. We sat down and waited 15 minutes for a smoothie, which was OK. We did indeed wait 45 minutes for the wings, which were good. For medium,  they had a kick and were tasty. Noteworthy, they only have ranch,  no blue cheese. Another customer threw a fit about that. The ranch was not good. Very generic. If you're a dipper, and I am,  no or bad dip can be reason enough for me to give up on wings. Several customers were asking for their wings cooked hard because they were coming out a little underdone. They had no cocktail sauce for the seafood. There is also a language barrier that was contributing to order errors and lengthy turn around times. I don't typically like trying out places on opening day because there are always bumbles, but even taking that into consideration,  this fledgling business had alot of hurdles to jump.",158,8,201310,2013
34,15,1,3,0,4.41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"This salon needs a better vibe. No music, no magazines, staff needs to be more welcoming and smile. More attention to detail needed. They do not offer a massage, which is always a nice touch. Tidy and clean.",238,1,201602,2016
220,179,31,45,14,3.59,7,5,0,0,0,6,13,15,15,3,0,4,1,0,1,"30th Street Station is my favorite Northeast Corridor train station. I love the openness and light, as well as many dining options. It also has a good amount of signage, so you can't get lost though it's a big place. The station is also so much cleaner and safer than other stations, it seems like most people here are really just waiting for a train so they can leave or waiting for a friend to arrive (unlike other stations with loiterers all day). It's actually a really nice experience to transit through 30th Street Station.",54,5,200907,2009
133,255,84,59,8,3.4,1,3,2,0,0,9,0,4,4,3,0,3,0,1,0,"If you find yourself in Nashville's West End craving a dirty, local Tex Mex joint with cold beers this is the place for you.  The restaurant is located right across the street from Vandy and Vandy memorial hospital, so it's pretty busy for lunch and dinner. You order on a paper menu where you check boxes next to what you want to eat. Very Sushi like or Which-Wich style, but fun none the less. The prices are not listed, so order carefully or you'll have a $17.00 tab like I did.

The building is a dump. I'm serious. It's grunge and not the kind that was popular in the 90's. Celling tiles are about to fall due to water damage, dust collects on the fans and wall decor, the tables looks like they are from a yard sale, and this is all on purpose! 

The food is OK. Nothing to rave about. It's a local hole in the wall with descent food and homemade soft corn tortillas. The tortillas are great, but the rest of the food you're eating is a scale above taco bell. 

I'm giving the place a 3 due to the fact that they are accomplishing what they set out to accomplish. descent food in a descent setting. It's a dump serving local dirty style tex-mex for a reasonable price in a college town. What else could you ask for?",258,2,200906,2009
159,269,62,99,14,4.29,15,2,2,0,0,13,7,9,9,5,4,4,1,0,0,"I love the Chicken Salads at this place. They come in a tortilla shell and have a lot of beens, rice lettuce with really good grilled chicken. I used to go to the Pollo Feliz on Tucson and Valencia. That is now a ChickeNuevo and the food is still just as good. It is nice to have one in the neighborhood. This location is in an old Long John Silvers right next to Miss Saigon (which is the old Perkins) There has been a lot of repurposing in this area and ultimately both of these are moves in the right direction. You get a lot of food for you money at this place and I have yet to have something I didn't enjoy.",135,2,201105,2011
33,21,3,4,0,3.74,0,0,0,0,0,0,1,0,0,0,0,5,1,1,1,"This review is for the poker room...
  
Dealers & pit boss's are wonderful. Casino provides soup, sandwiches, water, & soft drinks in the poker room. 

Love it..",71,1,201509,2015
28,29,2,4,0,4.22,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,"We tried Lamb kabobs and chicken vindaloo tonight and were very happy with both. We love hole in the wall places! This one fits the bill, too. It's primarily take out inside a convenience store. The proprietor told us about the lunch special which offers a variety of food so you can find your favorite. We are going back for fresh chili chicken tomorrow! I suggest if you like it spicy, ask for it. The food was delicious and flavorful, but not spicy enough for our palates.",65,1,201403,2014
39,64,11,22,1,3.85,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,"Absolutely amazing! The place is small but sushi is great and fresh. The selection is big ( must try volcano sushi). I'm very impressed with service, quality and price!",13,1,200807,2008
